"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"138","CPA_5_V2","~*~","CPA_5_V2","",1.21638901933229,0,NA,NA,1.21638901933229,1.21638901933229,1.21638901933229,1
"139","CPA_7_t2","~*~","CPA_7_t2","",0.597729849732825,0,NA,NA,0.597729849732825,0.597729849732825,0.597729849732825,1
"140","CPA_9_t2","~*~","CPA_9_t2","",0.549784414687403,0,NA,NA,0.549784414687403,0.549784414687403,0.549784414687403,1
"141","CPA_2_t2","~*~","CPA_2_t2","",0.664019195448241,0,NA,NA,0.664019195448241,0.664019195448241,0.664019195448241,1
"142","CPA_4_t2","~*~","CPA_4_t2","",0.619847433059449,0,NA,NA,0.619847433059449,0.619847433059449,0.619847433059449,1
"143","CPA_10_t2","~*~","CPA_10_t2","",0.926525202374922,0,NA,NA,0.926525202374922,0.926525202374922,0.926525202374922,1
"144","CPA_12_t2","~*~","CPA_12_t2","",0.645934549147311,0,NA,NA,0.645934549147311,0.645934549147311,0.645934549147311,1
"145","CPA_3_RS_t1","~1","","",0,0,NA,NA,0,0,0,0
"146","CPA_6_t1","~1","","",0,0,NA,NA,0,0,0,0
"147","CPA_5_RS","~1","","",0,0,NA,NA,0,0,0,0
"148","CPA_7_t1","~1","","",0,0,NA,NA,0,0,0,0
"149","CPA_9_t1","~1","","",0,0,NA,NA,0,0,0,0
"150","CPA_2_t1","~1","","",0,0,NA,NA,0,0,0,0
"151","CPA_4_t1","~1","","",0,0,NA,NA,0,0,0,0
"152","CPA_10_t1","~1","","",0,0,NA,NA,0,0,0,0
"153","CPA_12_t1","~1","","",0,0,NA,NA,0,0,0,0
"154","CPA_1_V2","~1","","",0,0,NA,NA,0,0,0,0
"155","CPA_6_t2","~1","","",0,0,NA,NA,0,0,0,0
"156","CPA_5_V2","~1","","",0,0,NA,NA,0,0,0,0
"157","CPA_7_t2","~1","","",0,0,NA,NA,0,0,0,0
"158","CPA_9_t2","~1","","",0,0,NA,NA,0,0,0,0
"159","CPA_2_t2","~1","","",0,0,NA,NA,0,0,0,0
"160","CPA_4_t2","~1","","",0,0,NA,NA,0,0,0,0
"161","CPA_10_t2","~1","","",0,0,NA,NA,0,0,0,0
"162","CPA_12_t2","~1","","",0,0,NA,NA,0,0,0,0
